paragraph,score
1.2.6.6n13,0
1.2.6.9n14,0
1.3.1.1,0
1.3.1.2,0
1.3.1.3,0
1.3.1.4,0
1.3.1.5,0
1.3.1.6,0
1.3.1.7,0
1.3.1.1n15,0
1.3.2.1,0
1.3.2.2,0
1.3.2.3,0
1.3.2.4,0
1.3.2.5,0
1.3.2.6,0
1.3.2.7,0
1.3.2.8,0
1.3.2.9,0
1.3.2.10,0
1.3.2.11,0
1.3.2.12,0
1.3.2.13,0
1.3.2.14,0
1.3.2.15,0
1.3.2.16,0
1.3.2.6n16,0
1.3.3.1,0
1.3.3.2,0
1.3.3.3,0
1.3.3.4,0
1.3.3.5,0
1.3.3.6,0
1.3.3.7,0
1.3.3.8,0
1.3.3.9,0
1.3.3.4n17,0
1.3.3.5n18,0
1.3.3.6n19,0
1.3.4.1,0
1.3.4.2,0
1.3.4.3,0
1.3.5.1,0
1.3.5.2,0
1.3.5.3,0
1.3.5.4,0
1.3.5.5,0
1.3.5.6,0
1.3.5.7,0
1.3.6.1,0
1.3.6.2,0
1.3.6.3,0
1.3.6.4,0
1.3.6.5,0
1.3.6.6,0
1.3.6.7,0
1.3.6.8,0
1.3.6.9,0
1.3.6.10,0
1.3.6.11,0
1.3.6.12,0
1.3.6.13,0
1.3.6.14,0
1.3.6.15,0
1.3.6.16,0
1.3.7.1,0
1.3.7.2,0
1.3.7.3,0
1.3.7.4,0
1.3.7.5,0
1.3.7.6,0
1.3.7.7,0
1.3.7.8,0
1.3.7.5n20,0
1.3.8.1,0
1.3.8.2,0
1.3.8.3,0
1.3.8.4,0
1.3.8.5,0
1.3.8.6,0
1.3.8.7,0
1.3.8.8,0
1.3.8.9,0
1.3.8.10,0
1.3.8.11,0
1.3.8.12,0
1.3.8.13,0
1.3.8.14,0
1.3.8.15,0
1.3.8.16,0
1.3.8.17,0
1.3.8.5n21,0
1.3.9.1,0
1.3.9.2,0
1.3.9.3,0
1.3.9.4,0
1.3.9.5,0
1.3.9.6,0
1.3.9.7,0
1.3.9.8,0
1.3.9.9,0
1.3.9.10,0
1.3.9.11,0
1.3.9.12,0
1.3.9.13,0
1.3.9.14,0
1.3.9.15,0
1.3.9.16,0
1.3.9.17,0
1.3.9.18,0
1.3.9.19,0
1.3.9.19n22,0
1.3.10.1,0
1.3.10.2,0
1.3.10.3,0
1.3.10.4,0
1.3.10.5,0
1.3.10.6,0
1.3.10.7,0
1.3.10.8,0
1.3.10.9,0
1.3.10.10,0
1.3.10.11,0
1.3.10.12,0
1.3.11.1,0
1.3.11.2,0
1.3.11.3,0
1.3.11.4,0
1.3.11.5,0
1.3.11.6,0
1.3.11.7,0
1.3.11.8,0
1.3.11.9,0
1.3.11.10,0
1.3.11.11,0
1.3.11.12,0
1.3.11.13,0
1.3.12.1,0
1.3.12.2,0
1.3.12.3,0
1.3.12.4,0
1.3.12.5,0
1.3.12.6,0
1.3.12.7,0
1.3.12.8,0
1.3.12.9,0
1.3.12.10,0
1.3.12.11,0
1.3.12.12,0
1.3.12.13,0
1.3.12.14,0
1.3.12.15,0
1.3.12.16,0
1.3.12.17,0
1.3.12.18,0
1.3.12.19,0
1.3.12.20,0
1.3.12.21,0
1.3.12.22,0
1.3.12.23,0
1.3.12.24,0
1.3.12.25,0
1.3.12.23n23,0
1.3.13.1,0
1.3.13.2,0
1.3.13.3,0
1.3.13.4,0
1.3.13.5,0
1.3.13.6,0
1.3.13.7,0
1.3.13.8,0
1.3.13.9,0
1.3.13.10,0
1.3.13.11,0
1.3.13.12,0
1.3.13.13,0
1.3.13.14,0
1.3.13.15,0
1.3.13.16,0
1.3.13.17,0
1.3.13.18,0
1.3.13.19,0
1.3.13.20,0
1.3.13.5n24,0
1.3.13.11n25,0
1.3.13.17n26,0
1.3.14.1,0
1.3.14.2,0
1.3.14.3,0
1.3.14.4,0
1.3.14.5,0
1.3.14.6,0
1.3.14.7,0
1.3.14.8,0
1.3.14.9,0
1.3.14.10,0
1.3.14.11,0
1.3.14.12,0
1.3.14.13,0
1.3.14.14,0
1.3.14.15,0
1.3.14.16,0
1.3.14.17,0
1.3.14.18,0
1.3.14.19,0
1.3.14.20,0
1.3.14.21,0
1.3.14.22,0
1.3.14.23,0
1.3.14.24,0
1.3.14.25,0
1.3.14.26,0
1.3.14.27,0
1.3.14.28,0
1.3.14.29,0
1.3.14.30,0
1.3.14.31,0
1.3.14.32,0
1.3.14.33,0
1.3.14.34,0
1.3.14.35,0
1.3.14.36,0
1.3.14.1n27,0
1.3.14.5n28,0
1.3.14.7n29,0
1.3.14.12n30,0
1.3.14.17n31,0
1.3.14.25n32,0
1.3.15.1,0
1.3.15.2,0
1.3.15.3,0
1.3.15.4,0
1.3.15.5,0
1.3.15.6,0
1.3.15.7,0
1.3.15.8,0
1.3.15.9,0
1.3.15.10,0
1.3.15.11,0
1.3.15.12,0
1.3.15.1n33,0
1.3.16.1,0
1.3.16.2,0
1.3.16.3,0
1.3.16.4,0
1.3.16.5,0
1.3.16.6,0
1.3.16.7,0
1.3.16.8,0
1.3.16.9,0
1.4.1.1,0
1.4.1.2,0
1.4.1.3,0
1.4.1.4,0
1.4.1.5,0
1.4.1.6,0
1.4.1.7,0
1.4.1.8,0
1.4.1.9,0
1.4.1.10,0
1.4.1.11,0
1.4.1.12,0
1.4.2.1,0
1.4.2.2,0
1.4.2.3,0
1.4.2.4,0
1.4.2.5,0
1.4.2.6,0
1.4.2.7,0
1.4.2.8,0
1.4.2.9,0
1.4.2.10,0
1.4.2.11,0
1.4.2.12,0
1.4.2.13,0
1.4.2.14,0
1.4.2.15,0
1.4.2.16,0
1.4.2.17,0
1.4.2.18,0
1.4.2.19,0
1.4.2.20,0
1.4.2.21,0
1.4.2.22,0
1.4.2.23,0
1.4.2.24,0
1.4.2.25,0
1.4.2.26,0
1.4.2.27,0
1.4.2.28,0
1.4.2.29,0
1.4.2.30,0
1.4.2.31,0
1.4.2.32,0
1.4.2.33,0
1.4.2.34,0
1.4.2.35,0
1.4.2.36,0
1.4.2.37,0
1.4.2.38,0
1.4.2.39,0
1.4.2.40,0
1.4.2.41,0
1.4.2.42,0
1.4.2.43,0
1.4.2.44,0
1.4.2.45,0
1.4.2.46,0
1.4.2.47,0
1.4.2.48,0
1.4.2.49,0
1.4.2.50,0
1.4.2.51,0
1.4.2.52,0
1.4.2.53,0
1.4.2.54,0
1.4.2.55,0
1.4.2.56,0
1.4.2.57,0
1.4.2.2n34,0
1.4.2.9n35,0
1.4.2.22n36,0
1.4.2.29n37,0
1.4.2.32n38,0
1.4.2.35n39,0
1.4.2.37n40,0
1.4.2.55n41,0
1.4.3.1,0
1.4.3.2,0
1.4.3.3,0
1.4.3.4,0
1.4.3.5,0
1.4.3.6,0
1.4.3.7,0
1.4.3.8,0
1.4.3.9,0
1.4.3.10,0
1.4.3.11,0
1.4.4.1,0
1.4.4.2,0
1.4.4.3,0
1.4.4.4,0
1.4.4.5,0
1.4.4.6,0
1.4.4.7,0
1.4.4.8,0
1.4.4.9,0
1.4.4.10,0
1.4.4.11,0
1.4.4.12,0
1.4.4.13,0
1.4.4.14,0
1.4.4.15,0
1.4.4.11n42,0
1.4.5.1,0
1.4.5.2,0
1.4.5.3,0
1.4.5.4,0
1.4.5.5,0
1.4.5.6,0
1.4.5.7,0
1.4.5.8,0
1.4.5.9,0
1.4.5.10,0
1.4.5.11,0
1.4.5.12,0
1.4.5.13,0
1.4.5.14,0
1.4.5.15,0
1.4.5.16,0
1.4.5.17,0
1.4.5.18,0
1.4.5.19,0
1.4.5.20,0
1.4.5.21,0
1.4.5.22,0
1.4.5.23,0
1.4.5.24,0
1.4.5.25,0
1.4.5.26,0
1.4.5.27,0
1.4.5.28,0
1.4.5.29,0
1.4.5.30,0
1.4.5.31,0
1.4.5.32,0
1.4.5.33,0
1.4.5.34,0
1.4.5.35,0
1.4.5.11n43,0
1.4.5.12n44,0
1.4.5.19n45,0
1.4.5.20n46,0
1.4.5.22n47,0
1.4.5.30n48,0
1.4.5.31n49,0
1.4.6.1,0
1.4.6.2,0
1.4.6.3,0
1.4.6.4,0
1.4.6.5,0
1.4.6.6,0
1.4.6.7,0
1.4.6.8,0
1.4.6.9,0
1.4.6.10,0
1.4.6.11,0
1.4.6.12,0
1.4.6.13,0
1.4.6.14,0
1.4.6.15,0
1.4.6.16,0
1.4.6.17,0
1.4.6.18,0
1.4.6.19,0
1.4.6.20,0
1.4.6.21,0
1.4.6.22,0
1.4.6.23,0
1.4.6.6n50,0
1.4.7.1,0
1.4.7.2,0
1.4.7.3,0
1.4.7.4,0
1.4.7.5,0
1.4.7.6,0
1.4.7.7,0
1.4.7.8,0
1.4.7.9,0
1.4.7.10,0
1.4.7.11,0
1.4.7.12,0
1.4.7.13,0
1.4.7.14,0
1.4.7.15,0
1.4.7.4n51,0
1.4.7.5n52,0
1.4.7.7n53,0
2.1.1.1,0
2.1.1.2,0
2.1.1.3,0
2.1.1.4,0
2.1.1.1n54,0
2.1.2.1,0
2.1.2.2,0
2.1.2.3,0
2.1.2.4,0
2.1.2.5,0
2.1.2.6,0
2.1.3.1,0
2.1.3.2,0
2.1.3.3,0
2.1.3.4,0
2.1.3.5,0
2.1.3.6,0
2.1.3.7,0
2.1.4.1,0
2.1.4.2,0
2.1.4.3,0
2.1.4.4,0
2.1.4.5,0
2.1.5.1,0
2.1.5.2,0
2.1.5.3,0
2.1.5.4,0
2.1.5.5,0
2.1.5.6,0
2.1.5.7,0
2.1.5.8,0
2.1.5.9,0
2.1.5.10,0
2.1.5.11,0
2.1.6.1,0
2.1.6.2,0
2.1.6.3,0
2.1.6.4,0
2.1.6.5,0
2.1.6.6,0
2.1.6.7,0
2.1.6.8,0
2.1.6.9,0
2.1.6.10,0
2.1.6.2n55,0
2.1.7.1,0
2.1.7.2,0
2.1.7.3,0
2.1.7.4,0
2.1.7.5,0
2.1.7.6,0
2.1.7.7,0
2.1.7.8,0
2.1.8.1,0
2.1.8.2,0
2.1.8.3,0
2.1.8.4,0
2.1.8.5,0
2.1.8.6,0
2.1.8.7,0
2.1.8.8,0
2.1.8.9,0
2.1.9.1,0
2.1.9.2,0
2.1.9.3,0
2.1.9.4,0
2.1.9.5,0
2.1.9.6,0
2.1.9.7,0
2.1.9.8,0
2.1.9.9,0
2.1.9.10,0
2.1.9.11,0
2.1.9.12,0
2.1.9.13,0
2.1.9.13n56,0
2.1.10.1,0
2.1.10.2,0
2.1.10.3,0
2.1.10.4,0
2.1.10.5,0
2.1.10.6,0
2.1.10.7,0
2.1.10.8,0
2.1.10.9,0
2.1.10.10,0
2.1.10.11,0
2.1.10.12,0
2.1.10.9n57,0
2.1.11.1,0
2.1.11.2,0
2.1.11.3,0
2.1.11.4,0
2.1.11.5,0
2.1.11.6,0
2.1.11.7,0
2.1.11.8,0
2.1.11.9,0
2.1.11.10,0
2.1.11.11,0
2.1.11.12,0
2.1.11.13,0
2.1.11.14,0
2.1.11.15,0
2.1.11.16,0
2.1.11.17,0
2.1.11.18,0
2.1.11.19,0
2.1.11.6n58,0
2.1.11.9n59,0
2.1.12.1,0
2.1.12.2,0
2.1.12.3,0
2.1.12.4,0
2.1.12.5,0
2.1.12.6,0
2.1.12.7,0
2.1.12.8,0
2.1.12.9,0
2.2.1.1,0
2.2.1.2,0
2.2.1.3,0
2.2.1.4,0
2.2.1.5,0
2.2.1.6,0
2.2.1.7,0
2.2.1.8,0
2.2.1.9,0
2.2.2.1,0
2.2.2.2,0
2.2.2.3,0
2.2.2.4,0
2.2.2.5,0
2.2.2.6,0
2.2.2.7,0
2.2.2.8,0
2.2.2.9,0
2.2.2.10,0
2.2.2.11,0
2.2.2.12,0
2.2.2.13,0
2.2.2.14,0
2.2.2.15,0
2.2.2.16,0
2.2.2.17,0
2.2.2.18,0
2.2.2.19,0
2.2.2.20,0
2.2.2.21,0
2.2.2.22,0
2.2.2.23,0
2.2.2.24,0
2.2.2.25,0
2.2.2.26,0
2.2.2.27,0
2.2.2.28,0
2.2.2.28n60,0
2.2.2.28n61,0
2.2.2.28n62,0
2.2.2.28n63,0
2.2.2.28n64,0
2.2.3.1,0
2.2.3.2,0
2.2.3.3,0
2.2.3.4,0
2.2.3.5,0
2.2.3.6,0
2.2.3.7,0
2.2.3.8,0
2.2.3.9,0
2.2.3.10,0
2.2.4.1,0
2.2.4.2,0
2.2.4.3,0
2.2.4.4,0
2.2.4.5,0
2.2.4.6,0
2.2.4.7,0
2.2.4.8,0
2.2.4.9,0
2.2.4.10,0
2.2.4.11,0
2.2.4.12,0
2.2.4.13,0
2.2.5.1,0
2.2.5.2,0
2.2.5.3,0
2.2.5.4,0
2.2.5.5,0
2.2.5.6,0
2.2.5.7,0
2.2.5.8,0
2.2.5.9,0
2.2.5.10,0
2.2.5.11,0
2.2.5.12,0
2.2.5.13,0
2.2.5.14,0
2.2.5.15,0
2.2.5.16,0
2.2.5.17,0
2.2.5.18,0
2.2.5.19,0
2.2.5.20,0
2.2.5.21,0
2.2.6.1,0
2.2.6.2,0
2.2.6.3,0
2.2.6.4,0
2.2.6.5,0
2.2.6.6,0
2.2.7.1,0
2.2.7.2,0
2.2.7.3,0
2.2.7.4,0
2.2.7.5,0
2.2.7.6,0
2.2.7.6n*,0
2.2.8.1,0
2.2.8.2,0
2.2.8.3,0
2.2.8.4,0
2.2.8.5,0
2.2.8.6,0
2.2.8.7,0
2.2.8.8,0
2.2.8.9,0
2.2.8.10,0
2.2.8.11,0
2.2.8.12,0
2.2.8.13,0
2.2.8.14,0
2.2.8.15,0
2.2.8.16,0
2.2.8.17,0
2.2.8.18,0
2.2.8.19,0
2.2.8.20,0
2.2.8.4n65,0
2.2.9.1,0
2.2.9.2,0
2.2.9.3,0
2.2.9.4,0
2.2.9.5,0
2.2.9.6,0
2.2.9.7,0
2.2.9.8,0
2.2.9.9,0
2.2.9.10,0
2.2.9.11,0
2.2.9.12,0
2.2.9.13,0
2.2.9.14,0
2.2.9.15,0
2.2.9.16,0
2.2.9.17,0
2.2.9.18,0
2.2.9.19,0
2.2.9.20,0
2.2.10.1,0
2.2.10.2,0
2.2.10.3,0
2.2.10.4,0
2.2.10.5,0
2.2.10.6,0
2.2.10.7,0
2.2.10.8,0
2.2.10.9,0
2.2.10.10,0
2.2.11.1,0
2.2.11.2,0
2.2.11.3,0
2.2.11.4,0
2.2.11.5,0
2.2.11.6,0
2.2.12.1,0
2.2.12.2,0
2.2.12.3,0
2.2.12.4,0
2.2.12.5,0
2.2.12.6,0
2.2.12.7,0
2.2.12.8,0
2.3.1.1,0
2.3.1.2,0
2.3.1.3,0
2.3.1.4,0
2.3.1.5,0
2.3.1.6,0
2.3.1.7,0
2.3.1.8,0
2.3.1.9,0
2.3.1.10,0
2.3.1.11,0
2.3.1.12,0
2.3.1.13,0
2.3.1.14,0
2.3.1.15,0
2.3.1.16,0
2.3.1.17,0
2.3.1.18,0
2.3.2.1,0
2.3.2.2,0
2.3.2.3,0
2.3.2.4,0
2.3.2.5,0
2.3.2.6,0
2.3.2.7,0
2.3.2.8,0
2.3.3.1,0
2.3.3.2,0
2.3.3.3,0
2.3.3.4,0
2.3.3.5,0
2.3.3.6,0
2.3.3.7,0
2.3.3.8,0
2.3.3.9,0
2.3.3.10,0
2.3.4.1,0
2.3.4.2,0
2.3.4.3,0
2.3.4.4,0
2.3.4.5,0
2.3.4.6,0
2.3.4.7,0
2.3.4.8,0
2.3.4.9,0
2.3.4.10,0
2.3.5.1,0
2.3.5.2,0
2.3.5.3,0
2.3.5.4,0
2.3.5.5,0
2.3.6.1,0
2.3.6.2,0
2.3.6.3,0
2.3.6.4,0
2.3.6.5,0
2.3.6.6,0
2.3.6.7,0
2.3.6.8,0
2.3.6.9,0
2.3.6.10,0
2.3.6.4n66,0
2.3.7.1,0
2.3.7.2,0
2.3.7.3,0
2.3.7.4,0
2.3.7.5,0
2.3.7.6,0
2.3.7.7,0
2.3.7.8,0
2.3.7.9,0
2.3.8.1,0
2.3.8.2,0
2.3.8.3,0
2.3.8.4,0
2.3.8.5,0
2.3.8.6,0
2.3.8.7,0
2.3.8.8,0
2.3.8.9,0
2.3.8.10,0
2.3.8.11,0
2.3.8.12,0
2.3.8.13,0
2.3.9.1,0
2.3.9.2,0
2.3.9.3,0
2.3.9.4,0
2.3.9.5,0
2.3.9.6,0
2.3.9.7,0
2.3.9.8,0
2.3.9.9,0
2.3.9.10,0
2.3.9.11,0
2.3.9.12,0
2.3.9.13,0
2.3.9.14,0
2.3.9.15,0
2.3.9.16,0
2.3.9.17,0
2.3.9.18,0
2.3.9.19,0
2.3.9.20,0
2.3.9.21,0
2.3.9.22,0
2.3.9.23,0
2.3.9.24,0
2.3.9.25,0
2.3.9.26,0
2.3.9.27,0
2.3.9.28,0
2.3.9.29,0
2.3.9.30,0
2.3.9.31,0
2.3.9.32,0
2.3.10.1,0
2.3.10.2,0
2.3.10.3,0
2.3.10.4,0
2.3.10.5,0
2.3.10.6,0
2.3.10.7,0
2.3.10.8,0
2.3.10.9,0
2.3.10.10,0
2.3.10.11,0
2.3.10.12,0
3.1.1.1,0
3.1.1.2,0
3.1.1.3,0
3.1.1.4,0
3.1.1.5,0
3.1.1.6,0
3.1.1.7,0
3.1.1.8,0
3.1.1.9,0
3.1.1.10,0
3.1.1.11,0
3.1.1.12,0
3.1.1.13,0
3.1.1.14,0
3.1.1.15,0
3.1.1.16,0
3.1.1.17,0
3.1.1.18,0
3.1.1.19,0
3.1.1.20,0
3.1.1.21,0
3.1.1.22,0
3.1.1.23,0
3.1.1.24,0
3.1.1.25,0
3.1.1.26,0
3.1.1.27,0
3.1.1.8n67,0
3.1.1.15n68,0
3.1.1.19n69,0
3.1.2.1,0
3.1.2.2,0
3.1.2.3,0
3.1.2.4,0
3.1.2.5,0
3.1.2.6,0
3.1.2.7,0
3.1.2.8,0
3.1.2.9,0
3.1.2.10,0
3.1.2.11,0
3.1.2.9n70,0
3.2.1.1,0
3.2.1.2,0
3.2.1.3,0
3.2.1.4,0
3.2.1.5,0
3.2.1.6,0
3.2.1.7,0
3.2.1.8,0
3.2.1.9,0
3.2.1.10,0
3.2.1.11,0
3.2.1.12,0
3.2.1.13,0
3.2.1.14,0
3.2.1.15,0
3.2.1.16,0
3.2.1.17,0
3.2.1.18,0
3.2.1.19,0
3.2.2.1,0
3.2.2.2,0
3.2.2.3,0
3.2.2.4,0
3.2.2.5,0
3.2.2.6,0
3.2.2.7,0
3.2.2.8,0
3.2.2.9,0
3.2.2.10,0
3.2.2.11,0
3.2.2.12,0
3.2.2.13,0
3.2.2.14,0
3.2.2.15,0
3.2.2.16,0
3.2.2.17,0
3.2.2.18,0
3.2.2.19,0
3.2.2.20,0
3.2.2.21,0
3.2.2.22,0
3.2.2.23,0
3.2.2.24,0
3.2.2.25,0
3.2.2.26,0
3.2.2.27,0
3.2.2.28,0
3.2.3.1,0
3.2.3.2,0
3.2.3.3,0
3.2.3.4,0
3.2.3.5,0
3.2.3.6,0
3.2.3.7,0
3.2.3.8,0
3.2.3.9,0
3.2.3.10,0
3.2.3.11,0
3.2.3.4n71,0
3.2.3.n71a,0
3.2.3.6n72,0
3.2.3.7n73,0
3.2.3.9n74,0
3.2.3.10n75,0
3.2.3.11n76,0
3.2.4.1,0
3.2.4.2,0
3.2.5.1,0
3.2.5.2,0
3.2.5.3,0
3.2.5.4,0
3.2.5.5,0
3.2.5.6,0
3.2.5.7,0
3.2.5.8,0
3.2.5.9,0
3.2.5.10,0
3.2.5.11,0
3.2.5.12,0
3.2.5.13,0
3.2.5.14,0
3.2.5.15,0
3.2.5.4n77,0
3.2.5.14n78,0
3.2.6.1,0
3.2.6.2,0
3.2.6.3,0
3.2.6.4,0
3.2.6.5,0
3.2.6.6,0
3.2.6.7,0
3.2.6.8,0
3.2.6.9,0
3.2.6.10,0
3.2.6.11,0
3.2.7.1,0
3.2.7.2,0
3.2.7.3,0
3.2.7.4,0
3.2.7.5,0
3.2.7.6,0
3.2.7.7,0
3.2.7.8,0
3.2.8.1,0
3.2.8.2,0
3.2.8.3,0
3.2.8.4,0
3.2.8.5,0
3.2.8.6,0
3.2.8.7,0
3.2.8.8,0
3.2.8.9,0
3.2.8.5n79,0
3.2.8.8n80,0
3.2.9.1,0
3.2.9.2,0
3.2.9.3,0
3.2.9.4,0
3.2.10.1,0
3.2.10.2,0
3.2.10.3,0
3.2.10.4,0
3.2.10.5,0
3.2.10.6,0
3.2.10.7,0
3.2.10.8,0
3.2.10.9,0
3.2.10.10,0
3.2.10.11,0
3.2.10.12,0
3.2.10.13,0
3.2.10.14,0
3.2.10.15,0
3.2.10.16,0
3.2.10.17,0
3.2.10.18,0
3.2.10.19,0
3.2.10.8n81,0
3.2.10.9n82,0
3.2.11.1,0
3.2.11.2,0
3.2.11.3,0
3.2.11.4,0
3.2.11.5,0
3.2.12.1,0
3.2.12.2,0
3.2.12.3,0
3.2.12.4,0
3.2.12.5,0
3.2.12.6,0
3.2.12.7,0
3.2.12.8,0
3.2.12.9,0
3.3.1.1,0
3.3.1.2,0
3.3.1.3,0
3.3.1.4,0
3.3.1.5,0
3.3.1.6,0
3.3.1.7,0
3.3.1.8,0
3.3.1.9,0
3.3.1.10,0
3.3.1.11,0
3.3.1.12,0
3.3.1.13,0
3.3.1.14,0
3.3.1.15,0
3.3.1.16,0
3.3.1.17,0
3.3.1.18,0
3.3.1.19,0
3.3.1.20,0
3.3.1.21,0
3.3.1.22,0
3.3.1.23,0
3.3.1.24,0
3.3.1.25,0
3.3.1.26,0
3.3.1.27,0
3.3.1.28,0
3.3.1.29,0
3.3.1.30,0
3.3.1.31,0
3.3.1.8n83,0
3.3.2.1,0
3.3.2.2,0
3.3.2.3,0
3.3.2.4,0
3.3.2.5,0
3.3.2.6,0
3.3.2.7,0
3.3.2.8,0
3.3.2.9,0
3.3.2.10,0
3.3.2.11,0
3.3.2.12,0
3.3.2.13,0
3.3.2.14,0
3.3.2.15,0
3.3.2.16,0
3.3.2.17,0
3.3.2.4n84,0
3.3.2.5n85,0
3.3.2.6n86,0
3.3.2.17n87,0
3.3.3.1,0
3.3.3.2,0
3.3.3.3,0
3.3.3.4,0
3.3.3.5,0
3.3.3.6,0
3.3.3.7,0
3.3.3.8,0
3.3.3.9,0
3.3.4.1,0
3.3.4.2,0
3.3.4.3,0
3.3.4.4,0
3.3.4.5,0
3.3.4.6,0
3.3.4.7,0
3.3.4.8,0
3.3.4.9,0
3.3.4.10,0
3.3.4.11,0
3.3.4.12,0
3.3.4.13,0
3.3.4.14,0
3.3.4.2n88,0
3.3.5.1,0
3.3.5.2,0
3.3.5.3,0
3.3.5.4,0
3.3.5.5,0
3.3.5.6,0
3.3.6.1,0
3.3.6.2,0
3.3.6.3,0
3.3.6.4,0
3.3.6.5,0
3.3.6.6,0
App.1,0
App.2,0
App.3,0
App.4,0
App.5,0
App.6,0
App.7,0
App.8,0
App.9,0
App.10,0
App.11,0
App.12,0
App.13,0
App.14,0
App.15,0
App.16,0
App.17,0
App.18,0
App.19,0
App.20,0
App.21,0
App.22,0
App.20n89,0
Absi,0
Absii,0
Absiii,0
Absiv,0
Abs1,0
Abs2,0
Abs3,0
Abs4,0
Abs5,0
Abs6,0
Abs7,0
Abs8,0
Abs9,0
Abs10,0
Abs11,0
Abs12,0
Abs13,0
Abs14,0
Abs15,0
Abs16,0
Abs17,0
Abs18,0
Abs19,0
Abs20,0
Abs21,0
Abs22,0
Abs23,0
Abs24,0
Abs25,0
Abs26,0
Abs27,0
Abs28,0
Abs29,0
Abs30,0
Abs31,0
Abs32,0
Abs33,0
Abs34,0
Abs35,0
